Fecha;Item;Cajas
2021-07-12;WAFFER;1
2021-07-12;SNACKS;1
2021-07-13;OREO;0.21
2021-07-13;CHIPS;0.25
2021-07-13;SNACKS;0.17
2021-07-13;WAFFER;1
2021-07-13;OREO;1
2021-07-13;OREO;4
2021-07-13;WAFFER;3.67
2021-07-13;CHIPS;5
2021-07-13;SNACKS;5
2021-07-13;OREO;0.25
2021-07-14;SNACKS;1
2021-07-15;SNACKS;1
2021-07-15;OREO;1
2021-07-15;CHIPS;1
2021-07-15;SNACKS;1
2021-07-15;OREO;1
2021-07-15;OREO;1
2021-07-15;CHIPS;1
2021-07-15;SNACKS;7.5
2021-07-15;OREO;5
2021-07-16;OREO;2
2021-07-16;CHIPS;2
2021-07-19;OREO;1
2021-07-19;CHIPS;1
2021-07-19;SNACKS;4
2021-07-20;CHIPS;2
2021-07-20;CHIPS;1
2021-07-20;SNACKS;1
2021-07-21;OREO;0.25
2021-07-21;CHIPS;0.17
2021-07-21;SNACKS;0.17
2021-07-21;SNACKS;0.5
2021-07-21;CHIPS;0.5
2021-07-21;OREO;1
2021-07-21;CHIPS;1
2021-07-21;SNACKS;0.5
2021-07-22;OREO;2
2021-07-22;CHIPS;0.5
2021-07-22;SNACKS;0.5
2021-07-22;OREO;0.25
2021-07-22;WAFFER;0.5
2021-07-22;OREO;1
2021-07-22;CHIPS;1
2021-07-22;OREO;2
2021-07-22;WAFFER;5
2021-07-22;CHIPS;5
2021-07-22;SNACKS;5
2021-07-22;OREO;3
2021-07-22;CHIPS;1
2021-07-23;CHIPS;0.33
2021-07-23;OREO;0.17
2021-07-26;OREO;1
2021-07-26;CHIPS;1
2021-07-26;SNACKS;1
2021-07-27;CHIPS;1
2021-07-27;CHIPS;10
2021-07-28;OREO;1
2021-07-28;CHIPS;1
2021-07-28;CHIPS;1
2021-07-28;SNACKS;1
2021-07-29;OREO;1
2021-07-29;OREO;1
2021-07-29;SNACKS;0.5
2021-07-29;CHIPS;0.5
2021-07-29;OREO;5
2021-07-30;CHIPS;2
2021-07-30;CHIPS;0.5
2021-07-30;CHIPS;0.5
